"Pred","Obs","x","y","Type","ClimateCode"
383.1595,463.965225184336,144.376704498728,-37.424749774624,"Martino's data",6
995.326,1324.70689068176,147.028513192779,-35.8291899399543,"Martino's data",5
660.09106,1197.37066540122,146.722515428509,-35.3919215462198,"Martino's data",4
416.16953,332.289908006787,138.187118839803,-33.2162307165595,"Martino's data",4
373.46884,604.606256939471,152.410997323552,-27.6298744427118,"Martino's data",1
790.77216,239.157808288932,148.753793882487,-32.7447060756744,"Martino's data",4
654.6554,1153.2384846732,148.918692279675,-31.5024926966109,"Martino's data",4
336.8853,648.906024337746,145.926275114699,-36.5365821437149,"Martino's data",4
978.89435,1876.75793335587,150.457593434219,-30.566971472598,"Martino's data",5
706.58264,821.890588484704,146.722098336322,-38.4610766730204,"Martino's data",5
555.60284,769.303910032846,151.756227751233,-25.3822465341061,"Martino's data",1
42.671883,128.003039553761,150.70278820654,-33.5741658487161,"Martino's data",5
1215.4211,1997.55945785344,146.711900766725,-35.1828946961316,"Martino's data",4
603.14685,1239.48374035954,145.826534321515,-35.5973983432856,"Martino's data",4
608.9746,189.258750418201,146.65103160457,-38.0037973757439,"Martino's data",5
131.21017,82.6440433207899,147.408997843588,-42.397395414837,"Martino's data",6
545.0999,0,138.535463370607,-34.0102182504194,"Martino's data",4
440.89844,254.338386869058,144.264693935928,-36.3703947894424,"Martino's data",4
521.8172,3303.53225320578,141.931508497433,-33.8110026387566,"Martino's data",4
4935.071,6150.03928020597,150.729846995962,-26.6489830695732,"Martino's data",4
827.4746,741.090296331793,145.202277526819,-38.2414804294422,"Martino's data",5
230.56157,444.809528242331,119.419980244863,-32.6964069336928,"Martino's data",4
6259.7783,6940.31239213049,145.031744468815,-37.4003697923936,"Martino's data",5
2326.6216,1095.2963817846,148.810736747068,-33.3543357567034,"Martino's data",5
1586.2478,939.676270671189,151.248243807872,-28.7156111428761,"Martino's data",4
690.2365,1862.78714799136,148.992815382257,-31.2014316224737,"Martino's data",4
2924.6953,0,140.713447690225,-37.9684548651753,"Martino's data",5
712.3988,740.048012113199,118.054322565079,-33.288901070804,"Martino's data",4
193.58194,133.0809518639,146.659326667305,-36.0909824031805,"Martino's data",4
2503.1216,3143.60346117243,147.413855591755,-26.8159959196936,"Martino's data",4
899.5504,1812.84504616354,118.406445535479,-33.9163870058071,"Martino's data",5
298.07574,435.506511695683,148.324802706522,-25.4130965973213,"Martino's data",4
773.9994,4104.19201036543,145.488819109541,-36.9524539641448,"Martino's data",6
1592.1782,2062.51344427094,149.606984268612,-33.8779827626811,"Martino's data",6
707.2119,1265.74305602908,152.709098694289,-28.1923903056559,"Martino's data",5
2891.8699,3051.82838393748,147.359349192393,-31.2069743381042,"Martino's data",4
328.70642,377.830493215472,145.375357934492,-37.6311926646737,"Martino's data",5
1221.4348,2407.3802992329,147.608201975182,-35.3562267076144,"Martino's data",4
6911.8193,3782.26827398688,147.73890899773,-30.8689644555342,"Martino's data",4
1639.892,3055.65562383085,149.44285271703,-21.8790829199487,"Martino's data",1
515.1925,1017.31766978651,150.533944106136,-27.2399994486912,"Martino's data",4
875.00275,1066.36576474458,151.74586657952,-29.484475807587,"Martino's data",5
1376.9696,705.484607845545,145.23430131817,-38.0463744146677,"Martino's data",5
1763.5844,1822.136421456,151.446803024434,-31.342853744798,"Martino's data",6
524.91315,1004.44041259401,136.899981684477,-35.9749400425923,"Martino's data",5
737.5658,1008.96888177842,149.371157187038,-34.3302941844709,"Martino's data",6
861.7659,1165.47455263883,147.233441981029,-35.5614978169216,"Martino's data",4
394.57184,590.995296489913,143.181097593198,-38.4852983017762,"Martino's data",5
253.10535,356.021087379195,138.878856878276,-35.1750909287495,"Martino's data",5
849.9248,570.1321524214,147.000800302114,-43.1597085268951,"Martino's data",6
958.77,2558.92230769247,147.517561239773,-34.0723920920801,"Martino's data",4
578.75696,667.182009872049,145.452081171152,-37.3145055254637,"Martino's data",5
1070.4021,1504.81614180282,150.366006831247,-29.5966183495098,"Martino's data",4
715.5342,811.287491634488,152.151865673976,-25.6601103996979,"Martino's data",1
7209.6196,3858.39853924513,151.347473528928,-32.9381113716967,"Martino's data",5
1414.2385,680.409054711461,147.18013431534,-42.7300803687357,"Martino's data",6
800.01263,907.155484996736,149.587058299869,-31.3390751109151,"Martino's data",4
818.901,1400.26996165514,153.243553936349,-29.4516111908964,"Martino's data",2
563.73303,787.239247784019,148.775098540072,-32.3138692468702,"Martino's data",4
1966.2389,2241.93343342096,150.34365828466,-31.2283014964948,"Martino's data",4
452.34186,0,138.441358549516,-33.2020147481643,"Martino's data",4
487.591,783.157433595508,149.306975575953,-31.9052028708525,"Martino's data",4
1061.1506,936.769712964073,138.679965599504,-34.0784779682077,"Martino's data",5
248.70464,442.102122049779,116.658646105145,-33.6068801710369,"Martino's data",4
5969.4595,7949.91396045685,149.351441081795,-25.8366345926602,"Martino's data",4
196.25739,735.077134553343,118.07714653368,-32.6562916497171,"Martino's data",4
1994.557,813.702029466629,149.297477789751,-27.8944672472697,"Martino's data",4
578.027,718.271925672889,146.872778751882,-35.3780265598216,"Martino's data",4
8937.588,12157.8621970192,148.992810249374,-33.3088274811296,"Martino's data",6
439.30267,1030.83791796118,144.723604308651,-37.3855741917334,"Martino's data",6
1581.5002,1609.75094100833,149.403986155455,-29.9261445530895,"Martino's data",4
3.6062362,7855.53132332861,145.209736923378,-38.2185573830189,"Martino's data",5
337.5056,456.081175827421,117.815869754666,-33.982559395719,"Martino's data",5
609.2399,248.062337888405,145.127223732283,-37.2368541775546,"Martino's data",6
1057.9856,1607.75412470847,145.97875326577,-38.4012875463051,"Martino's data",5
531.5542,502.183275828138,148.997248742122,-31.9101187650172,"Martino's data",4
683.85925,764.610552079976,148.856459269091,-31.773216112136,"Martino's data",4
613.3444,803.526194626465,148.503392023067,-32.2267101365973,"Martino's data",4
210.8077,0,138.722465086389,-33.1415754930063,"Martino's data",4
