"Ref","Latitude","Longitude","CH4_mgm2day.mean","Water_Temp_C","Temp.annual","CH4_mgm2day.EbuAdj","CH4_mgm2day.EbuAdj.LCI","CH4_mgm2day.EbuAdj.UCI","Water_Temp_K","Boltzmann_15C","CH4_mgm2day.EbuAdj.15C","Loc"
"ANU.Fieldwork",-35.725254,147.208072,7.90646180521696,16.1,16.7938747406006,27.5619578505061,34.8565702068036,22.2417853975937,289.25,0.153153809814441,25.8104249549102,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.721689,147.222109,2.06478569035393,18.0333333333333,16.6425666809082,7.1249730335074,8.99102132338624,5.76167059356079,291.183333333333,0.419529120306713,5.95214202965352,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.909471,147.058206,5.93975041361412,17.1,17.5304908752441,21.7705683722486,27.8619730276086,17.3717480560174,290.25,0.291377191845697,19.2140876520558,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.909511,147.055329,116.565315841013,16.0666666666667,17.5304908752441,427.239025487171,546.78049745542,340.913869750978,289.216666666667,0.148529901944379,400.88232440824,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.910001,147.053161,0.250341936724828,19.2666666666667,17.3369045257568,0.905465618541246,1.15496567861448,0.72477900774419,292.416666666667,0.587617985395447,0.703827831052655,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.913717,147.055912,19.174567049193,15.6666666666667,17.5304908752441,70.2792531477302,89.9433869672685,56.0790815550644,288.816666666667,0.0929597563492166,67.533529117306,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.915191,147.056743,4.00458315150256,14.5333333333333,17.6997833251953,14.8498647798814,19.0624172928031,11.8158083579381,287.683333333333,-0.0653281810117008,15.2716376998151,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.994638,147.186614,8.9135148083307,15.5333333333333,17.3675804138184,32.3071508142174,41.2306961744167,25.8476093810158,288.683333333333,0.0744021531216674,31.2929214605692,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.987296,147.189757,3.2449918579733,14.4333333333333,17.2861824035645,11.6962523394123,14.9064893621753,9.36974587857797,287.583333333333,-0.0793546609741682,12.1010027565031,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.9901,147.1883,1.72061259958106,13.8333333333333,17.3675804138184,6.2363828346989,7.95893167315958,4.98947085704729,286.983333333333,-0.163718818230286,6.68982443584301,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.993333,147.192222,2.04694367385764,14.2,17.2861824035645,7.37800610352089,9.40302639723356,5.91044381349774,287.35,-0.112121080060938,7.74130626212275,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.997596,147.192823,37.418503981783,14.7333333333333,17.2007141113281,134.087314716341,170.649512616251,107.558774363376,287.883333333333,-0.0373044547623564,136.248966106414,"Temperate (Australia; N = 165)"
