"Date","NAME","FinYear","RelSurfaceArea"
1982-08-01,"Western Australia","1983",0.312876362264194
1982-08-01,NA,"1983",0.376316499605108
1982-09-01,"Australian Capital Territory","1983",0.135201589157322
1982-09-01,"New South Wales","1983",0.159133101950087
1982-09-01,"Northern Territory","1983",0.111937578764088
1982-09-01,"Other Territories","1983",0.469080085435008
1982-09-01,"Queensland","1983",0.236879386244572
1982-09-01,"South Australia","1983",0.262053836554429
1982-09-01,"Tasmania","1983",0.417501704378746
1982-09-01,"Victoria","1983",0.262046857575121
1982-09-01,"Western Australia","1983",0.331564067808424
1982-09-01,NA,"1983",0.363367510580751
1982-10-01,"Australian Capital Territory","1983",0.11830124676469
1982-10-01,"New South Wales","1983",0.183580987437535
1982-10-01,"Northern Territory","1983",0.0890140218886014
1982-10-01,"Other Territories","1983",0.488138233427404
1982-10-01,"Queensland","1983",0.305603068016716
1982-10-01,"South Australia","1983",0.250899900636981
1982-10-01,"Tasmania","1983",0.431567981121292
1982-10-01,"Victoria","1983",0.291137280881384
1982-10-01,"Western Australia","1983",0.357228660383035
1982-10-01,NA,"1983",0.39655918933825
1982-11-01,"Australian Capital Territory","1983",0.0558290863657867
1982-11-01,"New South Wales","1983",0.116759285053458
1982-11-01,"Northern Territory","1983",0.12053154599378
1982-11-01,"Other Territories","1983",0.521969559320238
1982-11-01,"Queensland","1983",0.201050958556548
1982-11-01,"South Australia","1983",0.195341072963272
1982-11-01,"Tasmania","1983",0.398948786087386
1982-11-01,"Victoria","1983",0.251034797562244
1982-11-01,"Western Australia","1983",0.215761209047501
1982-11-01,NA,"1983",0.307372353256684
1982-12-01,"Australian Capital Territory","1983",0.068385085562325
1982-12-01,"New South Wales","1983",0.140134529374205
1982-12-01,"Northern Territory","1983",0.173901343209728
1982-12-01,"Other Territories","1983",0.458047753730759
1982-12-01,"Queensland","1983",0.238315162688038
1982-12-01,"South Australia","1983",0.141653610007614
1982-12-01,"Tasmania","1983",0.386596473301966
1982-12-01,"Victoria","1983",0.226134840383299
1982-12-01,"Western Australia","1983",0.217506000728572
1982-12-01,NA,"1983",0.292288974745558
1983-01-01,"Australian Capital Territory","1983",0.0646775625035508
1983-01-01,"New South Wales","1983",0.117146446760393
1983-01-01,"Northern Territory","1983",0.208950724721215
1983-01-01,"Other Territories","1983",0.474257511597626
1983-01-01,"Queensland","1983",0.28660053933647
1983-01-01,"South Australia","1983",0.145194893431337
1983-01-01,"Tasmania","1983",0.343598022407011
1983-01-01,"Victoria","1983",0.212726817884563
1983-01-01,"Western Australia","1983",0.209425060831702
1983-01-01,NA,"1983",0.257561966036739
1983-02-01,"Australian Capital Territory","1983",0.0880207081471021
1983-02-01,"New South Wales","1983",0.14570872258828
1983-02-01,"Northern Territory","1983",0.192416000530262
1983-02-01,"Other Territories","1983",0.515019382238099
1983-02-01,"Queensland","1983",0.299051564023166
1983-02-01,"South Australia","1983",0.118820894289937
1983-02-01,"Tasmania","1983",0.300248673874404
1983-02-01,"Victoria","1983",0.178009870596661
1983-02-01,"Western Australia","1983",0.185137363851832
1983-02-01,NA,"1983",0.241900330972534
1983-03-01,"Australian Capital Territory","1983",0.0646443662989813
1983-03-01,"New South Wales","1983",0.164355624276847
1983-03-01,"Northern Territory","1983",0.236083643998827
1983-03-01,"Other Territories","1983",0.446905890693899
1983-03-01,"Queensland","1983",0.295319727393144
1983-03-01,"South Australia","1983",0.0991187943125843
1983-03-01,"Tasmania","1983",0.29041634479917
1983-03-01,"Victoria","1983",0.176496231175479
1983-03-01,"Western Australia","1983",0.193710705566652
1983-03-01,NA,"1983",0.264192906770415
1983-04-01,"Australian Capital Territory","1983",0.138029457128292
1983-04-01,"New South Wales","1983",0.169441208420895
1983-04-01,"Northern Territory","1983",0.430405456744581
1983-04-01,"Other Territories","1983",0.489248031543149
1983-04-01,"Queensland","1983",0.293569094798154
1983-04-01,"South Australia","1983",0.134448735707819
1983-04-01,"Tasmania","1983",0.338118497707662
1983-04-01,"Victoria","1983",0.229636958704258
